x,y,z
1.0109863,0.2763672,-0.10595703
1.010498,0.25854492,-0.1237793
1.0136719,0.26611328,-0.12451172
1.0129394,0.2536621,-0.13989258
1.0202637,0.25170898,-0.111572264
1.0180664,0.25390624,-0.11035156
1.0146484,0.25439452,-0.1159668
1.0087891,0.26391602,-0.1159668
1.0107422,0.26733398,-0.1184082
1.0117188,0.26879884,-0.122558592
1.010498,0.25146484,-0.12866211
1.0158692,0.26733398,-0.11401367
1.0131836,0.28149414,-0.11254883
1.0095215,0.25585938,-0.10839844
1.0117188,0.27001952,-0.10961914
1.0141602,0.26831056,-0.100097656
1.0114746,0.26538086,-0.122558592
1.0148926,0.25512696,-0.1081543
1.0114746,0.26171876,-0.115234376
1.017334,0.26098632,-0.09814453
1.0141602,0.2697754,-0.13012696
1.0092774,0.237548832,-0.11425781
1.0134277,0.25952148,-0.111816408
1.0131836,0.2614746,-0.111572264
1.0117188,0.2553711,-0.11352539
1.0090332,0.25976562,-0.12060547
1.0136719,0.25634766,-0.125
1.0131836,0.26367188,-0.114746092
1.0180664,0.28173828,-0.12060547
1.0141602,0.2626953,-0.1274414
1.0124512,0.26171876,-0.118652344
1.0078125,0.26513672,-0.11791992
1.0114746,0.25268556,-0.11645508
1.0117188,0.25976562,-0.12792969
1.0083008,0.25024414,-0.14257812
1.0124512,0.25219728,-0.11303711
1.0161133,0.26367188,-0.10913086
1.0134277,0.2602539,-0.12841797
